,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
67,M,Stratum 3,51,51,53,80,69,68,72.33333333333333,51.666666666666664,0
68,M,Stratum 3,67,68,75,75,78,85,79.33333333333333,70.0,0
69,M,Stratum 4,58,59,78,53,3,86,47.333333333333336,65.0,0
70,F,Stratum 2,81,68,73,59,80,77,72.0,74.0,1
71,F,Stratum 4,58,56,49,13,77,85,58.333333333333336,54.333333333333336,1
72,M,Stratum 4,75,68,71,81,99,97,92.33333333333333,71.33333333333333,0
73,F,Stratum 2,55,59,55,93,86,50,76.33333333333333,56.333333333333336,1
74,F,Stratum 2,67,57,44,77,88,75,80.0,56.0,1
75,M,Stratum 6,63,56,88,83,60,100,81.0,69.0,0
76,F,Stratum 3,49,59,92,45,42,97,61.333333333333336,66.66666666666667,1
77,M,Stratum 5,67,68,80,80,83,100,87.66666666666667,71.66666666666667,0
78,M,Stratum 6,68,63,82,91,88,98,92.33333333333333,71.0,0
79,M,Stratum 3,58,39,76,1,25,94,40.0,57.666666666666664,0
80,M,Stratum 5,60,65,78,95,34,99,76.0,67.66666666666667,0
81,M,Stratum 4,62,56,71,58,70,76,68.0,63.0,0
82,M,Stratum 6,65,56,96,84,73,97,84.66666666666667,72.33333333333333,0
83,F,Stratum 5,60,49,64,11,49,82,47.333333333333336,57.666666666666664,1
84,M,Stratum 4,54,48,39,9,8,58,25.0,47.0,0
85,F,Stratum 4,49,48,59,25,5,86,38.666666666666664,52.0,1
86,F,Stratum 6,60,57,80,93,65,91,83.0,65.66666666666667,1
87,F,Stratum 1,68,56,62,33,51,61,48.333333333333336,62.0,1
88,M,Stratum 6,62,59,88,100,89,100,96.33333333333333,69.66666666666667,0
89,M,Stratum 6,52,48,82,91,72,93,85.33333333333333,60.666666666666664,0
90,M,Stratum 6,81,83,92,91,100,100,97.0,85.33333333333333,0
91,M,Stratum 4,62,68,88,75,78,96,83.0,72.66666666666667,0
92,M,Stratum 3,54,45,49,3,8,44,18.333333333333332,49.333333333333336,0
93,F,Stratum 3,52,36,64,99,10,85,64.66666666666667,50.666666666666664,1
94,F,Stratum 2,67,53,100,1,2,8,3.6666666666666665,73.33333333333333,1
95,M,Stratum 2,57,45,40,20,11,18,16.333333333333332,47.333333333333336,0
96,F,Stratum 3,62,59,75,81,98,87,88.66666666666667,65.33333333333333,1
97,F,Stratum 6,55,66,80,81,88,98,89.0,67.0,1
98,M,Stratum 4,53,51,73,33,22,76,43.666666666666664,59.0,0
99,M,Stratum 4,60,59,76,85,23,95,67.66666666666667,65.0,0
100,M,Stratum 5,75,53,88,98,93,98,96.33333333333333,72.0,0
101,M,Stratum 5,43,48,85,35,43,93,57.0,58.666666666666664,0
102,M,Stratum 3,81,68,82,86,100,98,94.66666666666667,77.0,0
103,M,Stratum 4,62,45,70,51,68,90,69.66666666666667,59.0,0
104,M,Stratum 4,75,61,100,98,97,100,98.33333333333333,78.66666666666667,0
105,F,Stratum 6,67,64,88,97,93,96,95.33333333333333,73.0,1
106,F,Stratum 3,53,50,49,53,25,38,38.666666666666664,50.666666666666664,1
107,F,Stratum 4,65,76,92,93,88,97,92.66666666666667,77.66666666666667,1
108,M,Stratum 5,75,72,96,66,97,100,87.66666666666667,81.0,0
109,M,Stratum 3,64,59,96,70,1,99,56.666666666666664,73.0,0
110,F,Stratum 3,62,57,82,85,95,96,92.0,67.0,1
111,M,Stratum 5,75,61,92,90,20,92,67.33333333333333,76.0,0
112,M,Stratum 3,75,72,88,99,100,98,99.0,78.33333333333333,0
113,M,Stratum 3,62,57,82,95,71,94,86.66666666666667,67.0,0
114,M,Stratum 3,57,61,42,16,1,18,11.666666666666666,53.333333333333336,0
115,M,Stratum 3,53,55,60,51,54,60,55.0,56.0,0
116,M,Stratum 3,58,48,50,79,62,61,67.33333333333333,52.0,0
117,M,Stratum 6,65,68,85,78,1,96,58.333333333333336,72.66666666666667,0
118,M,Stratum 6,81,78,96,89,62,100,83.66666666666667,85.0,0
119,M,Stratum 3,53,49,50,40,20,22,27.333333333333332,50.666666666666664,0
120,M,Stratum 6,60,74,82,77,78,92,82.33333333333333,72.0,0
121,M,Stratum 4,71,66,88,99,94,100,97.66666666666667,75.0,0
122,M,Stratum 6,55,47,85,59,82,98,79.66666666666667,62.333333333333336,0
123,F,Stratum 5,67,56,85,93,81,95,89.66666666666667,69.33333333333333,1
124,M,Stratum 6,56,48,80,76,12,97,61.666666666666664,61.333333333333336,0
125,M,Stratum 5,71,61,100,80,95,98,91.0,77.33333333333333,0
126,M,Stratum 3,51,59,96,61,40,97,66.0,68.66666666666667,0
127,F,Stratum 3,60,64,76,81,11,93,61.666666666666664,66.66666666666667,1
128,F,Stratum 3,64,55,58,95,28,83,68.66666666666667,59.0,1
129,M,Stratum 3,68,56,64,57,70,79,68.66666666666667,62.666666666666664,0
