,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG_org,HI_GRADE_AVG_org,GENDER_bin,COL_GRADE_AVG,HI_GRADE_AVG
208,F,Stratum 5,64,62,78,86,23,98,69.0,68.0,1,0.264782787176663,0.6978827348819159
209,M,Stratum 3,52,56,53,67,37,52,52.0,53.666666666666664,0,-0.4806501483224448,-0.7507523100139845
210,F,Stratum 6,74,72,65,96,88,91,91.66666666666667,70.33333333333333,1,1.2586933678421401,0.9337070445161317
211,M,Stratum 6,58,62,55,97,93,88,92.66666666666667,58.333333333333336,0,1.30254236404797,-0.2791036907455514
212,M,Stratum 4,67,64,76,100,82,98,93.33333333333333,69.0,0,1.3317750281851894,0.7989502961537228
213,M,Stratum 4,60,60,60,62,8,74,48.0,60.0,0,-0.6560461331457642,-0.11065775529254003
214,M,Stratum 2,45,52,46,33,81,64,59.333333333333336,47.666666666666664,0,-0.15909084281302566,-1.3571576776448264
215,F,Stratum 3,58,66,43,37,19,39,31.666666666666668,55.666666666666664,1,-1.3722464045076521,-0.5486171874703706
216,M,Stratum 3,52,53,53,79,74,67,73.33333333333333,52.666666666666664,0,0.4547951040685922,-0.8518198712857915
217,F,Stratum 4,60,57,80,33,57,92,60.666666666666664,65.66666666666667,1,-0.10062551453858604,0.4620584252477
218,M,Stratum 3,62,65,48,15,21,23,19.666666666666668,58.333333333333336,0,-1.8984343589776107,-0.2791036907455514
219,F,Stratum 3,64,64,52,50,39,45,44.666666666666664,60.0,1,-0.8022094538318639,-0.11065775529254003
220,M,Stratum 3,87,72,62,91,95,81,89.0,73.66666666666667,0,1.1417627112932602,1.270598915422156
221,F,Stratum 2,57,46,54,83,64,67,71.33333333333333,52.333333333333336,1,0.36709711165693243,-0.8855090583763934
222,M,Stratum 3,62,66,55,48,75,78,67.0,61.0,0,0.17708479476500325,-0.009590194020733038
223,M,Stratum 1,49,51,43,61,40,18,39.666666666666664,47.666666666666664,0,-1.0214544348610133,-1.3571576776448264
224,F,Stratum 1,70,66,70,89,39,88,72.0,68.66666666666667,1,0.3963297757941526,0.765261109063121
225,M,Stratum 3,57,57,70,97,78,90,88.33333333333333,61.333333333333336,0,1.1125300471560402,0.02409899306986953
226,M,Stratum 4,41,46,49,19,8,67,31.333333333333332,45.333333333333336,0,-1.386862736576262,-1.5929819872790423
227,M,Stratum 4,64,64,52,60,59,33,50.666666666666664,60.0,0,-0.5391154765968847,-0.11065775529254003
228,M,Stratum 3,70,72,80,89,97,92,92.66666666666667,74.0,0,1.30254236404797,1.3042881025127577
229,F,Stratum 5,66,74,67,32,83,85,66.66666666666667,69.0,1,0.16246846269639348,0.7989502961537228
230,F,Stratum 5,68,72,78,23,33,88,48.0,72.66666666666667,1,-0.6560461331457642,1.169531354150349
231,M,Stratum 4,57,60,60,78,88,87,84.33333333333333,59.0,0,0.9371340623327208,-0.211725316564347
232,M,Stratum 3,64,53,63,38,36,64,46.0,60.0,0,-0.743744125557424,-0.11065775529254003
233,M,Stratum 4,62,59,59,82,5,62,49.666666666666664,60.0,0,-0.5829644728027146,-0.11065775529254003
234,F,Stratum 4,69,65,67,1,85,93,59.666666666666664,67.0,1,-0.1444745107444159,0.5968151736101088
235,F,Stratum 4,74,68,59,100,73,86,86.33333333333333,67.0,1,1.0248320547443805,0.5968151736101088
